year,fips,county,num_colonies,AQ_PM2.5,pest_e,water_viol
2002,01001,AUTAUGA,212,12.5,58220.80000000004,No data
2007,01001,AUTAUGA,201,14.5,38619.5,No data
2012,01001,AUTAUGA,119,10.8,40761.099999999984,No
2017,01001,AUTAUGA,137,10.4,No data,No
2002,01011,BULLOCK, (D),12.0,9138.400000000001,No data
2007,01011,BULLOCK,No data,14.7,18121.150000000005,No data
2012,01011,BULLOCK,No data,9.8,10977.850000000008,No
2017,01011,BULLOCK, (D),9.2,No data,No
2002,01047,DALLAS, (D),11.8,44114.950000000004,No data
2007,01047,DALLAS, (D),13.7,98925.70000000003,No data
2012,01047,DALLAS,65,10.1,78689.15000000004,No
2017,01047,DALLAS,209,9.7,No data,No
2002,01051,ELMORE,No data,12.7,36298.65,No data
2007,01051,ELMORE,31,14.9,58310.15,No data
2012,01051,ELMORE,190,11.1,42452.9,No
2017,01051,ELMORE,151,10.6,No data,No
2002,01063,GREENE, (D),11.5,5199.3,No data
2007,01063,GREENE, (D),13.1,4563.7,No data
2012,01063,GREENE,14,9.6,7229.850000000001,No
2017,01063,GREENE,31,9.1,No data,No
2002,01065,HALE,No data,11.8,8670.699999999999,No data
2007,01065,HALE, (D),13.4,43603.05000000001,No data
2012,01065,HALE,10,9.9,12886.750000000004,Yes
2017,01065,HALE,5,9.4,No data,No
2002,01085,LOWNDES,2,11.6,26311.800000000003,No data
2007,01085,LOWNDES, (D),13.6,48822.000000000015,No data
2012,01085,LOWNDES, (D),10.0,27497.649999999987,No
2017,01085,LOWNDES,196,9.4,No data,No
2002,01087,MACON, (D),12.3,21055.649999999983,No data
2007,01087,MACON, (D),15.0,58616.899999999994,No data
2012,01087,MACON,22,10.6,17523.800000000007,No
2017,01087,MACON,104,10.0,No data,Yes
2002,01091,MARENGO, (D),11.4,12946.900000000001,No data
2007,01091,MARENGO,22,13.4,26091.05,No data
2012,01091,MARENGO, (D),9.8,13725.449999999997,Yes
2017,01091,MARENGO,127,9.2,No data,No
2002,01101,MONTGOMERY,2,14.5,11308.850000000004,No data
2007,01101,MONTGOMERY,1,14.4,31318.649999999998,No data
2012,01101,MONTGOMERY, (D),10.7,31344.950000000004,No
2017,01101,MONTGOMERY,50,8.6,No data,No
2002,01105,PERRY,No data,11.6,14756.099999999997,No data
2007,01105,PERRY, (D),13.4,28697.750000000004,No data
2012,01105,PERRY, (D),9.7,33570.99999999999,No
2017,01105,PERRY,49,9.4,No data,No
2002,01119,SUMTER,6,11.6,5961.850000000009,No data
2007,01119,SUMTER,23,12.9,13280.2,No data
2012,01119,SUMTER,46,9.7,10737.900000000003,No
2017,01119,SUMTER,46,9.0,No data,Yes
2002,01003,BALDWIN,1,10.2,159960.49999999994,No data
2007,01003,BALDWIN,275,10.4,175406.25000000003,No data
2012,01003,BALDWIN,256,9.2,319518.9,Yes
2017,01003,BALDWIN,376,7.2,No data,Yes
2002,01013,BUTLER, (D),10.9,22847.300000000007,No data
2007,01013,BUTLER,65,13.0,17070.950000000004,No data
2012,01013,BUTLER,147,9.4,8442.100000000004,No
2017,01013,BUTLER,85,8.9,No data,Yes
2002,01023,CHOCTAW, (D),10.8,6271.5,No data
2007,01023,CHOCTAW,14,12.6,1249.7500000000002,No data
2012,01023,CHOCTAW,63,9.6,8353.099999999999,No
2017,01023,CHOCTAW, (D),8.9,No data,Yes
2002,01025,CLARKE, (D),11.0,10599.399999999996,No data
2007,01025,CLARKE, (D),12.8,3665.799999999997,No data
2012,01025,CLARKE,45,9.6,2370.25,Yes
2017,01025,CLARKE, (D),9.1,No data,Yes
2002,01035,CONECUH,27,10.6,22407.200000000008,No data
2007,01035,CONECUH,26,12.4,10573.349999999995,No data
2012,01035,CONECUH,10,9.1,32132.55,No
2017,01035,CONECUH,65,8.8,No data,No
2002,01053,ESCAMBIA, (D),11.9,67682.14999999998,No data
2007,01053,ESCAMBIA,78,13.4,106937.95000000003,No data
2012,01053,ESCAMBIA,77,9.1,177513.30000000005,No
2017,01053,ESCAMBIA,131,8.8,No data,Yes
2002,01097,MOBILE,4,12.1,94393.95000000001,No data
2007,01097,MOBILE,862,11.5,56649.44999999998,No data
2012,01097,MOBILE,721,8.8,104398.60000000003,No
2017,01097,MOBILE,318,8.1,No data,No
2002,01099,MONROE,No data,10.8,73298.45000000001,No data
2007,01099,MONROE,132,12.6,71173.40000000005,No data
2012,01099,MONROE,90,9.3,159668.35,Yes
2017,01099,MONROE,327,8.9,No data,No
2002,01129,WASHINGTON, (D),10.8,22965.95000000002,No data
2007,01129,WASHINGTON, (D),12.2,17746.8,No data
2012,01129,WASHINGTON, (D),9.5,24969.150000000005,No
2017,01129,WASHINGTON,28,9.0,No data,Yes
2002,01131,WILCOX,No data,11.1,24176.800000000014,No data
2007,01131,WILCOX,62,13.1,8643.050000000001,No data
2012,01131,WILCOX,No data,9.4,14318.550000000005,No
2017,01131,WILCOX, (D),8.9,No data,Yes
2002,01009,BLOUNT,107,14.5,37013.65,No data
2007,01009,BLOUNT,344,16.1,32647.65000000001,No data
2012,01009,BLOUNT,470,11.3,37166.49999999999,Yes
2017,01009,BLOUNT,132,10.6,No data,No
2002,01015,CALHOUN,99,14.0,13630.600000000008,No data
2007,01015,CALHOUN,231,15.9,15276.15000000001,No data
2012,01015,CALHOUN,207,11.6,19458.950000000008,No
2017,01015,CALHOUN,391,10.8,No data,No
2002,01019,CHEROKEE,12,14.1,52826.35000000001,No data
2007,01019,CHEROKEE,282,15.9,64531.19999999999,No data
2012,01019,CHEROKEE,70,10.8,124802.60000000008,No
2017,01019,CHEROKEE,139,10.3,No data,No
2002,01029,CLEBURNE,35,13.4,3890.9,No data
2007,01029,CLEBURNE,60,15.4,5893.350000000001,No data
2012,01029,CLEBURNE,128,10.3,4634.299999999999,No
2017,01029,CLEBURNE, (D),9.8,No data,Yes
2002,01043,CULLMAN,129,14.4,33498.950000000004,No data
2007,01043,CULLMAN,215,16.0,36715.850000000035,No data
2012,01043,CULLMAN,219,11.3,41155.64999999999,No
2017,01043,CULLMAN,90,10.5,No data,No
2002,01049,DE KALB,693,14.6,49231.30000000003,No data
2007,01049,DE KALB,643,14.1,60667.55,No data
2012,01049,DE KALB,379,9.3,57368.04999999999,No
2017,01049,DE KALB,74,7.7,No data,No
2002,01055,ETOWAH,151,14.9,18284.149999999998,No data
2007,01055,ETOWAH,193,15.7,21489.35000000001,No data
2012,01055,ETOWAH,469,9.6,20547.949999999997,No
2017,01055,ETOWAH,368,8.2,No data,No
2002,01071,JACKSON, (D),13.7,62161.349999999984,No data
2007,01071,JACKSON,86,15.2,94559.70000000001,No data
2012,01071,JACKSON,568,10.7,84374.65,No
2017,01071,JACKSON,488,10.0,No data,Yes
2002,01095,MARSHALL,132,14.3,20484.700000000008,No data
2007,01095,MARSHALL,285,15.7,29008.45000000001,No data
2012,01095,MARSHALL,69,11.3,23194.650000000005,No
2017,01095,MARSHALL,140,10.7,No data,No
2002,01115,SAINT CLAIR,95,14.4,6603.300000000006,No data
2007,01115,SAINT CLAIR,176,16.1,5880.249999999998,No data
2012,01115,SAINT CLAIR,56,11.8,5274.800000000004,No
2017,01115,SAINT CLAIR,94,11.0,No data,No
2002,01033,COLBERT, (D),12.6,82121.25,No data
2007,01033,COLBERT,37,13.6,46534.450000000026,No data
2012,01033,COLBERT, (D),8.8,96295.80000000009,Yes
2017,01033,COLBERT,31,7.5,No data,No
2002,01059,FRANKLIN, (D),12.2,14881.199999999997,No data
2007,01059,FRANKLIN,19,13.6,13859.60000000001,No data
2012,01059,FRANKLIN,33,9.9,30693.39999999999,No
2017,01059,FRANKLIN,40,9.1,No data,No
2002,01077,LAUDERDALE,110,13.1,97245.25000000009,No data
2007,01077,LAUDERDALE,42,14.4,79340.49999999994,No data
2012,01077,LAUDERDALE,188,10.5,149014.95000000007,No
2017,01077,LAUDERDALE,82,9.6,No data,No
2002,01079,LAWRENCE,8,13.5,140899.44999999995,No data
2007,01079,LAWRENCE,51,14.7,94190.30000000003,No data
2012,01079,LAWRENCE,77,10.9,170460.39999999997,Yes
2017,01079,LAWRENCE,158,10.0,No data,No
2002,01083,LIMESTONE,168,13.9,199127.45000000004,No data
2007,01083,LIMESTONE,276,15.0,146578.05000000005,No data
2012,01083,LIMESTONE,615,11.7,210883.69999999998,No
2017,01083,LIMESTONE,668,10.6,No data,Yes
2002,01089,MADISON,1,13.7,183837.14999999997,No data
2007,01089,MADISON,1,14.3,118879.30000000005,No data
2012,01089,MADISON,842,9.2,215627.90000000005,No
2017,01089,MADISON,847,7.5,No data,No
2002,01093,MARION,105,12.1,9827.05,No data
2007,01093,MARION,42,13.5,12182.5,No data
2012,01093,MARION,41,9.8,12384.400000000007,No
2017,01093,MARION,22,9.1,No data,Yes
2002,01103,MORGAN,10,13.0,31576.39999999998,No data
2007,01103,MORGAN,215,14.4,23718.199999999986,No data
2012,01103,MORGAN,122,8.9,45192.10000000004,No
2017,01103,MORGAN,178,7.4,No data,No
2002,01133,WINSTON,16,13.2,2803.999999999999,No data
2007,01133,WINSTON,43,14.7,3644.7000000000003,No data
2012,01133,WINSTON,72,10.4,5141.249999999999,No
2017,01133,WINSTON,114,9.7,No data,No
2002,01007,BIBB, (D),12.8,2158.1499999999996,No data
2007,01007,BIBB,9,14.2,4015.099999999999,No data
2012,01007,BIBB,57,10.5,532.7000000000003,No
2017,01007,BIBB,47,10.0,No data,No
2002,01017,CHAMBERS,17,12.5,4393.300000000001,No data
2007,01017,CHAMBERS, (D),15.2,10450.750000000004,No data
2012,01017,CHAMBERS, (D),10.4,1004.8500000000006,No
2017,01017,CHAMBERS,37,10.2,No data,No
2002,01021,CHILTON,No data,12.8,71587.15,No data
2007,01021,CHILTON, (D),14.5,56566.05000000003,No data
2012,01021,CHILTON,25,10.5,46739.9,No
2017,01021,CHILTON,46,10.2,No data,No
2002,01027,CLAY, (D),13.2,5360.350000000003,No data
2007,01027,CLAY,67,13.4,11176.300000000003,No data
2012,01027,CLAY,183,8.9,750.7500000000005,No
2017,01027,CLAY,146,7.4,No data,No
2002,01037,COOSA, (D),12.3,2179.3999999999987,No data
2007,01037,COOSA, (D),14.4,4653.749999999999,No data
2012,01037,COOSA,79,10.2,173.35000000000005,No
2017,01037,COOSA, (D),9.8,No data,No
2002,01057,FAYETTE,No data,12.2,18912.449999999993,No data
2007,01057,FAYETTE,3,13.7,14100.300000000001,No data
2012,01057,FAYETTE, (D),10.0,18107.350000000002,No
2017,01057,FAYETTE,106,9.2,No data,No
2002,01073,JEFFERSON,216,17.5,2009.9499999999991,No data
2007,01073,JEFFERSON,311,18.9,4357.599999999999,No data
2012,01073,JEFFERSON,266,11.2,1086.8500000000006,Yes
2017,01073,JEFFERSON,125,10.8,No data,No
2002,01075,LAMAR,85,11.7,11576.549999999997,No data
2007,01075,LAMAR,43,13.1,8050.549999999999,No data
2012,01075,LAMAR,15,9.7,1674.8,No
2017,01075,LAMAR,48,8.8,No data,No
2002,01081,LEE, (D),12.7,13429.600000000008,No data
2007,01081,LEE,81,15.4,13401.250000000011,No data
2012,01081,LEE,10,11.1,7313.999999999998,No
2017,01081,LEE,20,10.8,No data,Yes
2002,01107,PICKENS, (D),11.9,22453.149999999983,No data
2007,01107,PICKENS,102,13.5,14901.700000000003,No data
2012,01107,PICKENS,113,9.9,8772.099999999997,No
2017,01107,PICKENS,26,9.1,No data,No
2002,01111,RANDOLPH,9,13.1,5659.900000000002,No data
2007,01111,RANDOLPH,76,15.5,14054.299999999997,No data
2012,01111,RANDOLPH,99,10.1,2214.9000000000015,Yes
2017,01111,RANDOLPH,81,9.7,No data,Yes
2002,01117,SHELBY,81,13.7,20037.299999999992,No data
2007,01117,SHELBY,171,14.9,15109.299999999994,No data
2012,01117,SHELBY,224,9.5,7552.799999999998,No
2017,01117,SHELBY,201,11.4,No data,Yes
2002,01121,TALLADEGA,135,14.2,41621.79999999999,No data
2007,01121,TALLADEGA,64,14.1,28384.500000000004,No data
2012,01121,TALLADEGA,75,10.3,19538.200000000004,No
2017,01121,TALLADEGA,682,8.6,No data,No
2002,01123,TALLAPOOSA,2,12.4,6450.500000000002,No data
2007,01123,TALLAPOOSA, (D),15.1,9627.549999999997,No data
2012,01123,TALLAPOOSA, (D),10.4,2197.05,Yes
2017,01123,TALLAPOOSA, (D),10.0,No data,Yes
2002,01125,TUSCALOOSA, (D),13.2,29212.64999999999,No data
2007,01125,TUSCALOOSA,41,14.1,19727.300000000014,No data
2012,01125,TUSCALOOSA,123,9.4,11668.650000000003,No
2017,01125,TUSCALOOSA,351,7.4,No data,No
2002,01127,WALKER,22,14.6,3013.199999999998,No data
2007,01127,WALKER,177,14.7,7337.4,No data
2012,01127,WALKER,183,11.1,1718.0499999999997,No
2017,01127,WALKER,122,10.4,No data,No
2002,01005,BARBOUR, (D),11.4,90495.6,No data
2007,01005,BARBOUR, (D),14.1,34060.7,No data
2012,01005,BARBOUR,42,10.1,33019.7,Yes
2017,01005,BARBOUR,90,9.4,No data,Yes
2002,01031,COFFEE,33,11.2,201345.1000000001,No data
2007,01031,COFFEE,18,13.2,91991.29999999997,No data
2012,01031,COFFEE,12,9.6,115750.79999999997,No
2017,01031,COFFEE,32,9.1,No data,Yes
2002,01039,COVINGTON,56,10.9,137885.85000000006,No data
2007,01039,COVINGTON,75,12.9,68279.89999999998,No data
2012,01039,COVINGTON,199,9.2,78509.25000000001,No
2017,01039,COVINGTON,221,8.8,No data,No
2002,01041,CRENSHAW,No data,11.0,25476.19999999999,No data
2007,01041,CRENSHAW,No data,13.2,14835.85,No data
2012,01041,CRENSHAW,13,9.5,15652.950000000003,No
2017,01041,CRENSHAW,72,9.0,No data,No
2002,01045,DALE,246,11.3,148448.5,No data
2007,01045,DALE,76,13.2,65751.65000000002,No data
2012,01045,DALE,106,9.8,80035.00000000006,No
2017,01045,DALE,73,9.2,No data,No
2002,01061,GENEVA, (D),11.1,245760.94999999998,No data
2007,01061,GENEVA,112,12.8,123704.19999999994,No data
2012,01061,GENEVA,104,9.3,146659.60000000003,No
2017,01061,GENEVA,157,8.8,No data,No
2002,01067,HENRY,No data,11.1,277607.9999999998,No data
2007,01067,HENRY, (D),13.1,132942.99999999994,No data
2012,01067,HENRY,28,9.7,141215.85000000006,Yes
2017,01067,HENRY,49,9.0,No data,No
2002,01069,HOUSTON, (D),13.1,415192.6999999997,No data
2007,01069,HOUSTON,12,13.6,330020.35000000003,No data
2012,01069,HOUSTON,44,8.8,227310.75000000015,No
2017,01069,HOUSTON,65,7.1,No data,No
2002,01109,PIKE,No data,11.3,74554.59999999998,No data
2007,01109,PIKE,20,13.5,38538.449999999975,No data
2012,01109,PIKE,10,9.7,23299.199999999997,No
2017,01109,PIKE,353,9.1,No data,No
2002,01113,RUSSELL, (D),15.2,34827.24999999997,No data
2007,01113,RUSSELL,No data,15.7,19310.50000000001,No data
2012,01113,RUSSELL,23,11.6,28699.799999999996,No
2017,01113,RUSSELL,13,10.8,No data,No
2002,04001,APACHE,5,9.0,96939.75,No data
2007,04001,APACHE, (D),5.6,321476.65000000014,No data
2012,04001,APACHE,22,5.7,42995.9,Yes
2017,04001,APACHE,43,6.0,No data,Yes
2002,04005,COCONINO, (D),7.9,45266.09999999999,No data
2007,04005,COCONINO, (D),8.0,376257.85,No data
2012,04005,COCONINO, (D),5.4,15925.199999999999,Yes
2017,04005,COCONINO, (D),6.3,No data,Yes
2002,04007,GILA, (D),11.0,2593.7999999999993,No data
2007,04007,GILA,No data,9.4,1910.5999999999997,No data
2012,04007,GILA,1,6.4,400.55000000000007,Yes
2017,04007,GILA, (D),6.3,No data,Yes
2002,04015,MOHAVE,25,8.6,26224.09999999999,No data
2007,04015,MOHAVE, (D),6.5,62567.14999999999,No data
2012,04015,MOHAVE,7,6.1,24823.700000000008,Yes
2017,04015,MOHAVE,31,6.6,No data,Yes
2002,04017,NAVAJO, (D),11.8,50848.099999999984,No data
2007,04017,NAVAJO, (D),6.2,261540.94999999992,No data
2012,04017,NAVAJO,512,5.7,17631.05000000001,Yes
2017,04017,NAVAJO,355,6.7,No data,No
2002,04025,YAVAPAI,245,8.5,14202.900000000007,No data
2007,04025,YAVAPAI,266,6.2,45659.999999999985,No data
2012,04025,YAVAPAI, (D),4.5,9467.049999999997,Yes
2017,04025,YAVAPAI,324,6.1,No data,Yes
2002,04003,COCHISE,1,7.4,178299.99999999997,No data
2007,04003,COCHISE,1,6.8,209141.59999999995,No data
2012,04003,COCHISE,3,6.7,120615.14999999997,Yes
2017,04003,COCHISE,422,3.9,No data,Yes
2002,04009,GRAHAM, (D),7.6,84702.20000000001,No data
2007,04009,GRAHAM, (D),5.5,105906.39999999998,No data
2012,04009,GRAHAM,800,6.4,142143.2,No
2017,04009,GRAHAM,266,5.7,No data,Yes
2002,04011,GREENLEE,No data,7.6,3830.1500000000005,No data
2007,04011,GREENLEE,No data,5.6,2619.4000000000005,No data
2012,04011,GREENLEE,No data,5.8,6454.300000000005,No
2017,04011,GREENLEE,10,6.0,No data,Yes
2002,04012,LAPAZ,No data,8.6,219135.09999999995,No data
2007,04012,LAPAZ, (D),6.2,173259.5,No data
2012,04012,LAPAZ, (D),6.2,259662.00000000006,Yes
2017,04012,LAPAZ, (D),2.4,No data,Yes
2002,04013,MARICOPA,16,13.4,959581.8500000002,No data
2007,04013,MARICOPA,17,12.2,615198.6,No data
2012,04013,MARICOPA,23,12.3,670887.45,Yes
2017,04013,MARICOPA,13,9.5,No data,Yes
2002,04019,PIMA,3,6.6,43866.799999999996,No data
2007,04019,PIMA,1,5.7,85912.05,No data
2012,04019,PIMA,8,5.9,65061.499999999985,Yes
2017,04019,PIMA,2,6.4,No data,No
2002,04021,PINAL,754,8.5,605138.0999999999,No data
2007,04021,PINAL,3,22.5,645422.55,No data
2012,04021,PINAL,4,14.8,698521.0500000002,Yes
2017,04021,PINAL,3,12.4,No data,Yes
2002,04023,SANTA CRUZ, (D),12.6,10827.7,No data
2007,04023,SANTA CRUZ,No data,12.6,2399.099999999999,No data
2012,04023,SANTA CRUZ,9,9.7,11098.7,Yes
2017,04023,SANTA CRUZ,19,9.9,No data,Yes
2002,04027,YUMA,14,9.2,1085129.4500000002,No data
2007,04027,YUMA,10,7.0,552868.0999999996,No data
2012,04027,YUMA,7,8.5,792676.8500000001,Yes
2017,04027,YUMA,4,8.3,No data,Yes
2002,05029,CONWAY,163,14.0,26411.05,No data
2007,05029,CONWAY,36,13.0,34435.9,No data
2012,05029,CONWAY,37,10.4,67699.69999999997,No
2017,05029,CONWAY,51,9.5,No data,Yes
2002,05045,FAULKNER,145,12.0,20962.45,No data
2007,05045,FAULKNER,133,12.0,17561.599999999995,No data
2012,05045,FAULKNER,236,10.9,37131.19999999997,Yes
2017,05045,FAULKNER,281,9.9,No data,Yes
2002,05051,GARLAND,58,10.1,2561.1,No data
2007,05051,GARLAND,191,12.1,1911.3499999999995,No data
2012,05051,GARLAND,22,10.5,3838.7999999999993,No
2017,05051,GARLAND,198,8.6,No data,Yes
2002,05053,GRANT,152,11.5,1920.55,No data
2007,05053,GRANT,68,12.1,1522.9999999999998,No data
2012,05053,GRANT, (D),10.4,6120.349999999999,No
2017,05053,GRANT,64,9.4,No data,No
2002,05059,HOT SPRING,22,11.5,8217.95,No data
2007,05059,HOT SPRING,208,12.5,7411.450000000001,No data
2012,05059,HOT SPRING,60,10.5,7862.750000000005,No
2017,05059,HOT SPRING,90,9.5,No data,Yes
2002,05105,PERRY,9,13.2,6953.099999999999,No data
2007,05105,PERRY,23,12.3,8061.499999999999,No data
2012,05105,PERRY,18,10.2,14023.699999999999,Yes
2017,05105,PERRY,35,9.3,No data,No
2002,05119,PULASKI,403,13.4,36695.500000000015,No data
2007,05119,PULASKI,207,12.9,70206.24999999999,No data
2012,05119,PULASKI,228,11.6,78575.79999999996,Yes
2017,05119,PULASKI,247,9.8,No data,Yes
2002,05125,SALINE,84,12.7,2919.7,No data
2007,05125,SALINE,25,12.9,2116.65,No data
2012,05125,SALINE, (D),11.1,4266.949999999999,Yes
2017,05125,SALINE,380,9.9,No data,Yes
2002,05001,ARKANSAS, (D),11.7,269799.25,No data
2007,05001,ARKANSAS, (D),12.4,314758.70000000007,No data
2012,05001,ARKANSAS, (D),10.0,499405.44999999984,Yes
2017,05001,ARKANSAS, (D),8.3,No data,Yes
2002,05035,CRITTENDEN, (D),12.2,312227.4999999999,No data
2007,05035,CRITTENDEN, (D),13.6,411297.2499999999,No data
2012,05035,CRITTENDEN, (D),10.0,523695.05,Yes
2017,05035,CRITTENDEN, (D),8.4,No data,Yes
2002,05037,CROSS,1,12.6,252004.10000000003,No data
2007,05037,CROSS,160,13.3,243420.50000000003,No data
2012,05037,CROSS,No data,10.3,376851.14999999997,Yes
2017,05037,CROSS,61,9.0,No data,No
2002,05085,LONOKE,512,12.6,249003.54999999996,No data
2007,05085,LONOKE,150,13.3,322219.75000000006,No data
2012,05085,LONOKE,36,11.2,371803.24999999994,Yes
2017,05085,LONOKE,43,9.8,No data,Yes
2002,05117,PRAIRIE,146,12.1,185556.1,No data
2007,05117,PRAIRIE, (D),12.9,192113.65000000005,No data
2012,05117,PRAIRIE, (D),10.5,294151.1999999999,Yes
2017,05117,PRAIRIE, (D),9.0,No data,No
2002,05147,WOODRUFF,450,12.1,208997.59999999995,No data
2007,05147,WOODRUFF,570,12.7,263323.35,No data
2012,05147,WOODRUFF, (D),10.3,370989.1999999999,Yes
2017,05147,WOODRUFF, (D),8.9,No data,Yes
2002,05005,BAXTER,304,10.7,8755.45,No data
2007,05005,BAXTER,383,11.2,14975.250000000002,No data
2012,05005,BAXTER,117,9.3,5559.549999999999,Yes
2017,05005,BAXTER,93,8.8,No data,Yes
2002,05023,CLEBURNE,47,11.5,7418.050000000003,No data
2007,05023,CLEBURNE,48,12.2,15421.550000000003,No data
2012,05023,CLEBURNE, (D),10.0,20054.599999999995,Yes
2017,05023,CLEBURNE,63,9.2,No data,Yes
2002,05049,FULTON,15,10.8,22243.399999999994,No data
2007,05049,FULTON,27,11.2,29671.6,No data
2012,05049,FULTON,19,9.3,13422.650000000001,Yes
2017,05049,FULTON,145,8.7,No data,No
2002,05065,IZARD,31,10.9,21179.9,No data
2007,05065,IZARD, (D),11.5,21554.399999999998,No data
2012,05065,IZARD,19,9.4,13517.8,Yes
2017,05065,IZARD,20,8.9,No data,Yes
2002,05089,MARION,63,8.9,14174.800000000001,No data
2007,05089,MARION,83,11.2,18152.9,No data
2012,05089,MARION,32,9.1,9035.95,Yes
2017,05089,MARION,145,8.6,No data,Yes
2002,05129,SEARCY,17,10.3,12905.350000000002,No data
2007,05129,SEARCY,19,11.1,25399.749999999996,No data
2012,05129,SEARCY,26,9.1,9786.350000000002,Yes
2017,05129,SEARCY,28,8.5,No data,Yes
2002,05135,SHARP,71,11.4,13257.95,No data
2007,05135,SHARP, (D),11.8,23190.749999999996,No data
2012,05135,SHARP, (D),9.6,10037.400000000001,Yes
2017,05135,SHARP, (D),8.9,No data,Yes
2002,05137,STONE,332,10.9,10621.949999999999,No data
2007,05137,STONE, (D),11.6,14672.850000000002,No data
2012,05137,STONE,883,9.4,6925.85,No
2017,05137,STONE,789,8.8,No data,No
2002,05141,VAN BUREN, (D),11.2,11434.900000000001,No data
2007,05141,VAN BUREN,12,12.0,10483.95,No data
2012,05141,VAN BUREN, (D),9.9,5512.5999999999985,Yes
2017,05141,VAN BUREN,28,9.0,No data,Yes
2002,05021,CLAY,180,13.0,305212.4999999998,No data
2007,05021,CLAY,29,13.5,322026.0,No data
2012,05021,CLAY,50,10.3,547411.1500000001,Yes
2017,05021,CLAY,50,9.2,No data,Yes
2002,05031,CRAIGHEAD,14,11.3,455334.55000000005,No data
2007,05031,CRAIGHEAD,9,13.4,420702.99999999977,No data
2012,05031,CRAIGHEAD, (D),10.4,705741.3,No
2017,05031,CRAIGHEAD,9,9.4,No data,No
2002,05055,GREENE,359,12.7,218501.80000000002,No data
2007,05055,GREENE, (D),13.2,247931.7,No data
2012,05055,GREENE, (D),10.3,356288.64999999997,No
2017,05055,GREENE,29,9.3,No data,No
2002,05063,INDEPENDENCE,274,12.2,68835.4,No data
2007,05063,INDEPENDENCE,659,12.7,58200.04999999999,No data
2012,05063,INDEPENDENCE, (D),10.0,88985.14999999997,No
2017,05063,INDEPENDENCE,596,9.3,No data,Yes
2002,05067,JACKSON,No data,12.5,235705.0,No data
2007,05067,JACKSON,77,12.6,243938.44999999998,No data
2012,05067,JACKSON, (D),9.4,397736.1999999998,No
2017,05067,JACKSON,75,8.4,No data,No
2002,05075,LAWRENCE,230,12.3,183676.85000000003,No data
2007,05075,LAWRENCE,No data,12.8,194900.74999999997,No data
2012,05075,LAWRENCE,16,10.1,243179.74999999988,Yes
2017,05075,LAWRENCE,135,9.2,No data,Yes
2002,05093,MISSISSIPPI,629,12.2,692375.9000000001,No data
2007,05093,MISSISSIPPI,1,13.5,738201.5,No data
2012,05093,MISSISSIPPI,810,10.4,1179440.0000000005,Yes
2017,05093,MISSISSIPPI, (D),9.0,No data,Yes
2002,05111,POINSETT, (D),12.8,410458.1,No data
2007,05111,POINSETT,2,13.4,403873.15,No data
2012,05111,POINSETT, (D),10.4,665671.45,Yes
2017,05111,POINSETT, (D),9.2,No data,No
2002,05121,RANDOLPH, (D),11.9,91413.29999999997,No data
2007,05121,RANDOLPH, (D),12.4,100063.54999999997,No data
2012,05121,RANDOLPH, (D),9.8,104809.95000000001,Yes
2017,05121,RANDOLPH,558,8.9,No data,Yes
2002,05145,WHITE, (D),11.7,88043.7,No data
2007,05145,WHITE,101,11.7,76774.99999999996,No data
2012,05145,WHITE,20,10.8,93192.70000000001,No
2017,05145,WHITE,138,9.5,No data,Yes
2002,05007,BENTON,277,11.9,24333.499999999993,No data
2007,05007,BENTON,177,12.5,17820.1,No data
2012,05007,BENTON,155,10.0,14564.799999999997,Yes
2017,05007,BENTON,744,9.5,No data,Yes
2002,05009,BOONE,366,10.7,26362.1,No data
2007,05009,BOONE,528,11.3,18992.850000000006,No data
2012,05009,BOONE,148,9.2,11119.1,Yes
2017,05009,BOONE,153,8.4,No data,No
2002,05015,CARROLL,103,10.9,23205.69999999999,No data
2007,05015,CARROLL,40,11.3,18870.95,No data
2012,05015,CARROLL,110,9.2,11270.800000000007,Yes
2017,05015,CARROLL,100,8.3,No data,Yes
2002,05087,MADISON,126,10.5,18334.9,No data
2007,05087,MADISON,120,11.1,15867.550000000001,No data
2012,05087,MADISON,99,9.1,9763.050000000001,Yes
2017,05087,MADISON,131,8.3,No data,No
2002,05101,NEWTON,9,10.1,7857.300000000003,No data
2007,05101,NEWTON,112,10.8,6534.099999999999,No data
2012,05101,NEWTON,88,8.8,4169.299999999999,Yes
2017,05101,NEWTON,16,8.0,No data,Yes
2002,05143,WASHINGTON,136,10.8,27970.99999999999,No data
2007,05143,WASHINGTON,161,12.4,20655.5,No data
2012,05143,WASHINGTON,134,9.6,12899.549999999997,Yes
2017,05143,WASHINGTON,256,8.1,No data,No
2002,05011,BRADLEY,12,10.7,3518.7,No data
2007,05011,BRADLEY, (D),11.7,655.4499999999999,No data
2012,05011,BRADLEY, (D),10.0,3200.1,No
2017,05011,BRADLEY,16,9.1,No data,Yes
2002,05013,CALHOUN,No data,10.7,2266.5,No data
2007,05013,CALHOUN,4,11.6,216.54999999999998,No data
2012,05013,CALHOUN, (D),10.0,2485.1000000000004,Yes
2017,05013,CALHOUN, (D),9.2,No data,No
2002,05019,CLARK,41,11.0,12312.249999999998,No data
2007,05019,CLARK, (D),12.1,6614.399999999998,No data
2012,05019,CLARK,39,10.3,60816.94999999998,Yes
2017,05019,CLARK,28,9.5,No data,No
2002,05025,CLEVELAND,No data,11.0,2292.6000000000004,No data
